🕘️更新时间,#genre#
2026-03-12 20:39:27,http://183.44.113.165:2222/rtp/239.77.1.17:5146

📺央视频道,#genre#
CCTV1,http://14.118.74.55:10001/rtp/239.77.1.17:5146
CCTV1,http://14.118.74.55:10001/rtp/239.77.0.86:5146
CCTV1,http://113.65.124.202:9530/rtp/239.77.0.129:5146
CCTV1,http://14.118.74.55:10001/rtp/239.77.0.129:5146
CCTV1,http://14.118.74.55:10001/rtp/239.77.1.144:5146
CCTV1,http://113.65.124.202:9527/rtp/239.77.0.129:5146
CCTV2,http://14.118.74.55:10001/rtp/239.77.1.158:5146
CCTV2,http://183.44.113.165:2222/rtp/239.77.1.158:5146
CCTV2,http://14.118.74.55:10001/rtp/239.77.0.137:5146
CCTV2,http://221.220.135.194:8012/rtp/239.3.1.60:8084
CCTV2,http://116.9.34.226:4000/udp/239.81.0.115:4056
CCTV2,http://219.156.87.51:4022/rtp/225.1.4.74:1103
CCTV2,http://144.255.16.170:6688/udp/239.21.1.151:5002
CCTV2,http://183.44.113.165:2222/rtp/239.77.0.137:5146
CCTV2,http://106.116.127.10:4022/rtp/239.254.200.158:6000
CCTV2,http://116.2.164.201:4010/rtp/232.0.0.135:1234
CCTV3,http://115.171.216.84:4000/rtp/225.1.8.88:8000
CCTV3,http://14.118.74.55:10001/rtp/239.77.0.169:5146
CCTV3,http://116.9.34.226:4000/udp/239.81.0.231:4056
CCTV3,http://113.119.24.176:58888/udp/239.77.0.169:5146
CCTV3,http://60.4.29.183:8077/rtp/239.253.92.191:6057
CCTV4,http://113.65.124.202:9527/rtp/239.77.1.166:5146
CCTV4,http://14.118.74.55:10001/rtp/239.77.1.166:5146
CCTV4,http://113.65.124.202:9527/rtp/239.77.1.163:5146
CCTV4,http://14.118.74.55:10001/rtp/239.77.0.78:5146
CCTV4,http://183.44.113.165:2222/rtp/239.77.0.78:5146
CCTV4,http://14.118.74.55:10001/rtp/239.77.1.163:5146
CCTV4美洲,http://221.220.135.194:8012/rtp/239.3.1.214:4220
CCTV4美洲,http://14.118.74.55:10001/rtp/239.253.43.121:5146
CCTV4美洲,http://183.44.113.165:2222/rtp/239.253.43.121:5146
CCTV4美洲,http://113.65.124.202:9530/rtp/239.253.43.121:5146
CCTV4美洲,http://39.77.94.75:4002/rtp/239.253.254.187:8000
CCTV4美洲,http://113.65.124.202:9527/rtp/239.253.43.121:5146
CCTV4欧洲,http://113.65.124.202:9530/rtp/239.253.43.120:5146
CCTV4欧洲,http://221.220.135.194:8012/rtp/239.3.1.213:4220
CCTV4欧洲,http://60.4.29.183:8077/rtp/239.253.93.192:6370
CCTV4欧洲,http://183.44.113.165:2222/rtp/239.253.43.120:5146
CCTV4欧洲,http://220.176.218.207:9000/udp/239.252.219.192:5140
CCTV4欧洲,http://14.118.74.55:10001/rtp/239.253.43.120:5146
CCTV4欧洲,http://39.77.94.75:4002/rtp/239.253.254.186:8000
CCTV4欧洲,http://144.255.16.170:6688/udp/239.21.2.28:5002
CCTV4欧洲,http://116.2.164.201:4010/rtp/232.0.0.53:1234
CCTV5,http://183.44.113.165:2222/rtp/239.77.0.170:5146
CCTV5,http://14.118.74.55:10001/rtp/239.77.0.170:5146
CCTV5,http://113.65.124.202:9527/rtp/239.77.1.8:5146
CCTV5,http://144.255.16.170:6688/udp/239.21.2.46:5002
CCTV5,http://183.44.113.165:2222/rtp/239.77.1.8:5146
CCTV5,http://14.118.74.55:10001/rtp/239.77.1.8:5146
CCTV5,http://60.4.29.183:8077/rtp/239.253.92.181:6046
CCTV5,http://183.236.43.98:4013/udp/239.77.0.170:5146
CCTV5,http://116.2.164.201:4010/rtp/232.0.0.171:1234
CCTV5,http://183.44.113.165:2222/rtp/239.77.0.176:5146
CCTV5+,http://14.118.74.55:10001/rtp/239.77.1.31:5146
CCTV5+,http://183.44.113.165:2222/rtp/239.77.1.31:5146
CCTV5+,http://14.118.74.55:10001/rtp/239.77.0.87:5146
CCTV5+,http://183.44.113.165:2222/rtp/239.77.0.87:5146
CCTV5+,http://171.8.84.159:8800/rtp/239.16.20.5:10050
CCTV5+,http://219.156.87.51:4022/rtp/225.1.4.75:1104
CCTV5+,http://60.4.29.183:8077/rtp/239.253.92.82:8013
CCTV5+,http://116.9.34.226:4000/udp/239.81.0.101:4056
CCTV6,http://183.44.113.165:2222/rtp/239.77.0.171:5146
CCTV6,http://14.118.74.55:10001/rtp/239.77.0.171:5146
CCTV6,http://60.4.29.183:8077/rtp/239.253.92.193:6058
CCTV6,http://116.9.34.226:4000/udp/239.81.0.233:4056
CCTV6,http://106.87.49.66:8888/rtp/235.254.198.55:1496
CCTV6,http://113.65.124.202:9530/rtp/239.77.1.9:5146
CCTV6,http://219.156.87.51:4022/rtp/225.1.4.160:1196
CCTV6,http://183.44.113.165:2222/rtp/239.77.1.9:5146
CCTV6,http://14.118.74.55:10001/rtp/239.77.1.9:5146
CCTV6,http://116.2.164.201:4010/rtp/232.0.0.172:1234
CCTV7,http://183.44.113.165:2222/rtp/239.77.1.159:5146
CCTV7,http://113.65.124.202:9530/rtp/239.77.1.159:5146
CCTV7,http://113.65.124.202:9527/rtp/239.77.1.159:5146
CCTV7,http://60.4.29.183:8077/rtp/239.253.92.194:6059
CCTV7,http://14.118.74.55:10001/rtp/239.77.0.138:5146
CCTV7,http://116.9.34.226:4000/udp/239.81.0.116:4056
CCTV7,http://183.44.113.165:2222/rtp/239.77.0.138:5146
CCTV7,http://14.118.74.55:10001/rtp/239.77.1.159:5146
CCTV7,http://116.2.164.201:4010/rtp/232.0.0.136:1234
CCTV7,http://113.119.24.176:58888/udp/239.77.0.138:5146
CCTV8,http://14.118.74.55:10001/rtp/239.77.0.172:5146
CCTV8,http://171.8.171.176:8800/rtp/239.16.20.8:10080
CCTV8,http://183.44.113.165:2222/rtp/239.77.0.172:5146
CCTV8,http://113.65.124.202:9530/rtp/239.77.1.10:5146
CCTV8,http://144.255.16.170:6688/udp/239.21.2.48:5002
CCTV8,http://113.65.124.202:9527/rtp/239.77.1.10:5146
CCTV8,http://14.118.74.55:10001/rtp/239.77.1.10:5146
CCTV8,http://183.44.113.165:2222/rtp/239.77.1.10:5146
CCTV8,http://116.9.34.226:4000/udp/239.81.0.234:4056
CCTV9,http://183.44.113.165:2222/rtp/239.77.1.160:5146
CCTV9,http://113.65.124.202:9527/rtp/239.77.1.160:5146
CCTV9,http://14.118.74.55:10001/rtp/239.77.1.160:5146
CCTV9,http://113.65.124.202:9530/rtp/239.77.0.135:5146
CCTV9,http://113.65.124.202:9527/rtp/239.77.0.135:5146
CCTV9,http://183.44.113.165:2222/rtp/239.77.0.135:5146
CCTV9,http://60.4.29.183:8077/rtp/239.253.92.107:6020
